RecordingTime [ms]	Time of Day [h:m:s:ms]	Trial	Stimulus	Export Start Trial Time [ms]	Export End Trial Time [ms]	Participant	Color	Tracking Ratio [%]	Category Group	Category Right	Index Right	Pupil Diameter Right [mm]	Point of Regard Right X [px]	Point of Regard Right Y [px]	AOI Name Right	Gaze Vector Right X	Gaze Vector Right Y	Gaze Vector Right Z	Annotation Name	Annotation Description	Annotation Tags	Mouse Position X [px]	Mouse Position Y [px]	Scroll Direction X	Scroll Direction Y	Content
18688642.1	15:00:43:846	Trial001	Noun_Practice.avi	0	14132.6	OH103	Crimson	22	Eye	Saccade	1	4.5	698.8	450	-	-0.1	0.4	-0.9	-	-	-	-	-	-	-	-
18688650.4	15:00:43:854	Trial001	Noun_Practice.avi	0	14132.6	OH103	Crimson	22	Eye	Saccade	1	4.5	848.9	335.4	-	0.1	0.5	-0.9	-	-	-	-	-	-	-	-
18688658.7	15:00:43:862	Trial001	Noun_Practice.avi	0	14132.6	OH103	Crimson	22	Eye	Saccade	1	4.5	750.6	421.2	-	0	0.4	-0.9	-	-	-	-	-	-	-	-
18688667.1	15:00:43:871	Trial001	Noun_Practice.avi	0	14132.6	OH103	Crimson	22	Eye	Saccade	1	4.5	757.6	428.7	-	0	0.4	-0.9	-	-	-	-	-	-	-	-
18688677.7	15:00:43:881	Trial001	Noun_Practice.avi	0	14132.6	OH103	Crimson	22	Eye	Saccade	1	4.5	700.7	436.1	-	-0.1	0.4	-0.9	-	-	-	-	-	-	-	-
18688683.8	15:00:43:887	Trial001	Noun_Practice.avi	0	14132.6	OH103	Crimson	22	Eye	Saccade	1	4.4	678.4	476.1	-	-0.1	0.3	-0.9	-	-	-	-	-	-	-	-
18688692.1	15:00:43:896	Trial001	Noun_Practice.avi	0	14132.6	OH103	Crimson	22	Eye	Saccade	1	4.4	671.4	444.4	-	-0.1	0.4	-0.9	-	-	-	-	-	-	-	-
18688700.5	15:00:43:904	Trial001	Noun_Practice.avi	0	14132.6	OH103	Crimson	22	Eye	Saccade	1	4.4	767.5	414.3	-	0	0.4	-0.9	-	-	-	-	-	-	-	-
18688711	15:00:43:915	Trial001	Noun_Practice.avi	0	14132.6	OH103	Crimson	22	Eye	Saccade	1	4.4	659.7	478.8	-	-0.1	0.3	-0.9	-	-	-	-	-	-	-	-
18688717.7	15:00:43:921	Trial001	Noun_Practice.avi	0	14132.6	OH103	Crimson	22	Eye	Saccade	1	4.4	814.6	384	-	0.1	0.5	-0.9	-	-	-	-	-	-	-	-
18688725.4	15:00:43:929	Trial001	Noun_Practice.avi	0	14132.6	OH103	Crimson	22	Eye	Saccade	1	4.4	672.2	461.8	-	-0.1	0.3	-0.9	-	-	-	-	-	-	-	-
18688735	15:00:43:939	Trial001	Noun_Practice.avi	0	14132.6	OH103	Crimson	22	Eye	Saccade	1	4.4	829.3	345.3	-	0.1	0.5	-0.9	-	-	-	-	-	-	-	-
